2026-03-26 17:30:42,969 - madqn - INFO - train_madqn.py:19 - 
2026-03-26 17:30:42,970 - madqn - INFO - train_madqn.py:20 - ################################################################################
2026-03-26 17:30:42,970 - madqn - INFO - train_madqn.py:21 - #                          MADQN 训练开始                                       #
2026-03-26 17:30:42,971 - madqn - INFO - train_madqn.py:22 - ################################################################################
2026-03-26 17:30:42,971 - madqn - INFO - train_madqn.py:23 - 训练参数: iteration=5, num_episodes=50, episode_length=5000, num_agents=8, lr=0.001, gamma=0.99, epsilon=0.5, epsilon_min=0.1, epsilon_decay=0.95, mini_batch_size=64, update_freq=10, device=cpu
2026-03-26 17:34:31,570 - madqn - DEBUG - train_madqn.py:95 - Iter 1 Ep 20 | TotalReturn=25.00 | AgentReturns=[A1:-21.00, A2:9.00, A3:2.00, A4:3.00, A5:5.00, A6:6.00, A7:10.00, A8:11.00] | Epsilon=0.179
2026-03-26 17:34:36,985 - madqn - DEBUG - train_madqn.py:95 - Iter 1 Ep 21 | TotalReturn=-2.00 | AgentReturns=[A1:-12.00, A2:11.00, A3:-22.00, A4:4.00, A5:0.00, A6:-1.00, A7:9.00, A8:9.00] | Epsilon=0.170
2026-03-26 17:34:41,737 - madqn - DEBUG - train_madqn.py:95 - Iter 1 Ep 22 | TotalReturn=-7.00 | AgentReturns=[A1:-21.00, A2:11.00, A3:-1.00, A4:-3.00, A5:-3.00, A6:-4.00, A7:8.00, A8:6.00] | Epsilon=0.162
2026-03-26 17:34:47,013 - madqn - DEBUG - train_madqn.py:95 - Iter 1 Ep 23 | TotalReturn=34.00 | AgentReturns=[A1:2.00, A2:11.00, A3:0.00, A4:6.00, A5:2.00, A6:2.00, A7:1.00, A8:10.00] | Epsilon=0.154
2026-03-26 17:34:52,156 - madqn - DEBUG - train_madqn.py:95 - Iter 1 Ep 24 | TotalReturn=-90.00 | AgentReturns=[A1:-9.00, A2:10.00, A3:-119.00, A4:4.00, A5:0.00, A6:5.00, A7:9.00, A8:10.00] | Epsilon=0.146
2026-03-26 17:34:58,157 - madqn - DEBUG - train_madqn.py:95 - Iter 1 Ep 25 | TotalReturn=24.00 | AgentReturns=[A1:-17.00, A2:11.00, A3:1.00, A4:4.00, A5:3.00, A6:9.00, A7:9.00, A8:4.00] | Epsilon=0.139
2026-03-26 17:35:03,379 - madqn - DEBUG - train_madqn.py:95 - Iter 1 Ep 26 | TotalReturn=24.00 | AgentReturns=[A1:-15.00, A2:10.00, A3:2.00, A4:7.00, A5:1.00, A6:5.00, A7:9.00, A8:5.00] | Epsilon=0.132
2026-03-26 17:35:08,254 - madqn - DEBUG - train_madqn.py:95 - Iter 1 Ep 27 | TotalReturn=34.00 | AgentReturns=[A1:-12.00, A2:9.00, A3:5.00, A4:6.00, A5:3.00, A6:8.00, A7:9.00, A8:6.00] | Epsilon=0.125
2026-03-26 17:35:12,974 - madqn - DEBUG - train_madqn.py:95 - Iter 1 Ep 28 | TotalReturn=33.00 | AgentReturns=[A1:-9.00, A2:11.00, A3:2.00, A4:3.00, A5:5.00, A6:6.00, A7:8.00, A8:7.00] | Epsilon=0.119
2026-03-26 17:35:17,721 - madqn - DEBUG - train_madqn.py:95 - Iter 1 Ep 29 | TotalReturn=55.00 | AgentReturns=[A1:-4.00, A2:11.00, A3:7.00, A4:6.00, A5:6.00, A6:8.00, A7:11.00, A8:10.00] | Epsilon=0.113
