2026-02-21 16:21:09,051 - madqn - INFO - train.py:64 - 
2026-02-21 16:21:09,051 - madqn - INFO - train.py:65 - ################################################################################
2026-02-21 16:21:09,051 - madqn - INFO - train.py:66 - #                          MADQN 训练开始                                       #
2026-02-21 16:21:09,051 - madqn - INFO - train.py:67 - ################################################################################
2026-02-21 16:21:09,051 - madqn - INFO - train.py:68 - 训练参数: iteration=5, num_episodes=50, episode_length=5000, num_agents=4, lr=0.001, gamma=0.99, epsilon=0.5, epsilon_min=0.1, epsilon_decay=0.95, mini_batch_size=64, update_freq=10, device=cpu
2026-02-21 16:21:09,053 - madqn - INFO - train.py:83 - ---------- Iteration 1/5 开始 ----------
2026-02-21 16:22:11,661 - madqn - DEBUG - train.py:146 - Iter 1 Ep 19 | TotalReturn=21.00 | AgentReturns=[A1:-8.00, A2:10.00, A3:9.00, A4:10.00] | AvgBER=0.0137 [A1:0.0099, A2:0.0072, A3:0.0146, A4:0.0231] | Epsilon=0.189
2026-02-21 16:22:13,315 - madqn - DEBUG - train.py:146 - Iter 1 Ep 20 | TotalReturn=23.00 | AgentReturns=[A1:-2.00, A2:10.00, A3:8.00, A4:7.00] | AvgBER=0.0137 [A1:0.0141, A2:0.0075, A3:0.0156, A4:0.0175] | Epsilon=0.179
2026-02-21 16:22:14,842 - madqn - DEBUG - train.py:146 - Iter 1 Ep 21 | TotalReturn=34.00 | AgentReturns=[A1:4.00, A2:9.00, A3:10.00, A4:11.00] | AvgBER=0.0137 [A1:0.0119, A2:0.0062, A3:0.0145, A4:0.0221] | Epsilon=0.170
2026-02-21 16:22:16,949 - madqn - DEBUG - train.py:146 - Iter 1 Ep 22 | TotalReturn=13.00 | AgentReturns=[A1:-12.00, A2:6.00, A3:8.00, A4:11.00] | AvgBER=0.0137 [A1:0.0118, A2:0.0063, A3:0.0150, A4:0.0217] | Epsilon=0.162
2026-02-21 16:22:18,779 - madqn - DEBUG - train.py:146 - Iter 1 Ep 23 | TotalReturn=27.00 | AgentReturns=[A1:-2.00, A2:9.00, A3:9.00, A4:11.00] | AvgBER=0.0137 [A1:0.0120, A2:0.0075, A3:0.0178, A4:0.0174] | Epsilon=0.154
2026-02-21 16:22:20,606 - madqn - DEBUG - train.py:146 - Iter 1 Ep 24 | TotalReturn=24.00 | AgentReturns=[A1:-2.00, A2:10.00, A3:9.00, A4:7.00] | AvgBER=0.0137 [A1:0.0147, A2:0.0079, A3:0.0138, A4:0.0183] | Epsilon=0.146
2026-02-21 16:22:22,391 - madqn - DEBUG - train.py:146 - Iter 1 Ep 25 | TotalReturn=26.00 | AgentReturns=[A1:-5.00, A2:10.00, A3:11.00, A4:10.00] | AvgBER=0.0137 [A1:0.0124, A2:0.0085, A3:0.0133, A4:0.0205] | Epsilon=0.139
2026-02-21 16:22:24,213 - madqn - DEBUG - train.py:146 - Iter 1 Ep 26 | TotalReturn=30.00 | AgentReturns=[A1:-3.00, A2:11.00, A3:11.00, A4:11.00] | AvgBER=0.0137 [A1:0.0137, A2:0.0069, A3:0.0148, A4:0.0193] | Epsilon=0.132
2026-02-21 16:22:25,847 - madqn - DEBUG - train.py:146 - Iter 1 Ep 27 | TotalReturn=28.00 | AgentReturns=[A1:2.00, A2:9.00, A3:7.00, A4:10.00] | AvgBER=0.0137 [A1:0.0117, A2:0.0080, A3:0.0152, A4:0.0199] | Epsilon=0.125
2026-02-21 16:22:27,630 - madqn - DEBUG - train.py:146 - Iter 1 Ep 28 | TotalReturn=29.00 | AgentReturns=[A1:0.00, A2:8.00, A3:11.00, A4:10.00] | AvgBER=0.0137 [A1:0.0134, A2:0.0077, A3:0.0157, A4:0.0180] | Epsilon=0.119
