2026-04-14 20:57:34,988 - madqn - INFO - train_madqn.py:19 - 
2026-04-14 20:58:49,639 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 26 | TotalReturn=45.28 | AgentReturns=[A1:9.36, A2:9.30, A3:13.42, A4:13.20] | Epsilon=0.132
2026-04-14 20:58:51,668 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 27 | TotalReturn=44.49 | AgentReturns=[A1:8.21, A2:10.52, A3:13.08, A4:12.69] | Epsilon=0.125
2026-04-14 20:58:53,536 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 28 | TotalReturn=45.32 | AgentReturns=[A1:10.04, A2:10.62, A3:12.26, A4:12.40] | Epsilon=0.119
2026-04-14 20:58:55,631 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 29 | TotalReturn=48.38 | AgentReturns=[A1:13.24, A2:11.35, A3:12.09, A4:11.70] | Epsilon=0.113
2026-04-14 20:58:58,002 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 30 | TotalReturn=47.34 | AgentReturns=[A1:11.39, A2:10.85, A3:13.47, A4:11.63] | Epsilon=0.107
2026-04-14 20:58:59,497 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 31 | TotalReturn=51.06 | AgentReturns=[A1:13.55, A2:11.30, A3:13.00, A4:13.20] | Epsilon=0.102
2026-04-14 20:59:01,882 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 32 | TotalReturn=49.48 | AgentReturns=[A1:13.64, A2:9.13, A3:14.28, A4:12.43] | Epsilon=0.100
2026-04-14 20:59:03,698 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 33 | TotalReturn=52.02 | AgentReturns=[A1:15.81, A2:10.13, A3:13.66, A4:12.43] | Epsilon=0.100
2026-04-14 20:59:05,178 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 34 | TotalReturn=52.21 | AgentReturns=[A1:15.45, A2:11.46, A3:12.62, A4:12.68] | Epsilon=0.100
2026-04-14 20:59:06,850 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 35 | TotalReturn=50.39 | AgentReturns=[A1:13.32, A2:10.47, A3:13.57, A4:13.03] | Epsilon=0.100
2026-04-14 20:59:08,445 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 36 | TotalReturn=51.81 | AgentReturns=[A1:15.06, A2:9.99, A3:14.11, A4:12.64] | Epsilon=0.100
2026-04-14 20:59:10,666 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 37 | TotalReturn=48.50 | AgentReturns=[A1:12.66, A2:10.86, A3:12.39, A4:12.60] | Epsilon=0.100
2026-04-14 20:59:13,074 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 38 | TotalReturn=46.46 | AgentReturns=[A1:10.95, A2:9.23, A3:14.01, A4:12.26] | Epsilon=0.100
